file_path,model,finish_reason,completion_tokens,prompt_tokens,total_tokens
./jsoup-jsoup/2406b/MANTIS-tests-01/jsoup-jsoup/Parser/scenario_output/parseFragmentInput/scenario_2.json,o4-mini,stop,1245,7760,9005
./jsoup-jsoup/2406b/MANTIS-tests-01/jsoup-jsoup/Parser/scenario_output/parseFragmentInput/parseFragmentInput_0.json,,,0,0,0
./jsoup-jsoup/2406b/MANTIS-tests-01/jsoup-jsoup/Parser/scenario_output/parseFragmentInput/parseFragmentInput_2.json,,,0,0,0
./jsoup-jsoup/2406b/MANTIS-tests-01/jsoup-jsoup/Parser/scenario_output/parseFragmentInput/parseFragmentInput_1.json,,,0,0,0
./jsoup-jsoup/2406b/MANTIS-tests-01/jsoup-jsoup/Parser/scenario_output/parseFragmentInput/scenario_0.json,o4-mini,stop,1993,6110,8103
./jsoup-jsoup/2406b/MANTIS-tests-01/jsoup-jsoup/Parser/scenario_output/parseFragmentInput/scenario_1.json,o4-mini,stop,1421,6676,8097
./jsoup-jsoup/2406b/MANTIS-tests-01/jsoup-jsoup/Parser/test_output/parseFragmentInput/guide_0.json,gpt-4o-mini,stop,677,4180,4857
./jsoup-jsoup/2406b/MANTIS-tests-01/jsoup-jsoup/Parser/test_output/parseFragmentInput/test_1.json,o4-mini,stop,1847,5013,6860
./jsoup-jsoup/2406b/MANTIS-tests-01/jsoup-jsoup/Parser/test_output/parseFragmentInput/test_0.json,o4-mini,stop,2305,5608,7913
./jsoup-jsoup/2406b/MANTIS-tests-01/jsoup-jsoup/Parser/test_output/parseFragmentInput/guide_1.json,gpt-4o-mini,stop,104,2901,3005
./jsoup-jsoup/2406b/MANTIS-tests-01/jsoup-jsoup/Parser/test_output/parseFragmentInput/fix_2_1.json,gpt-4o-mini,stop,1162,1971,3133
./jsoup-jsoup/2406b/MANTIS-tests-01/jsoup-jsoup/Parser/test_output/parseFragmentInput/test_2.json,o4-mini,stop,833,4697,5530
./jsoup-jsoup/2406b/MANTIS-tests-01/jsoup-jsoup/Parser/test_output/parseFragmentInput/fix_1_0.json,gpt-4o-mini,stop,1876,3341,5217
./jsoup-jsoup/2406b/MANTIS-tests-01/jsoup-jsoup/Parser/test_output/parseFragmentInput/fix_1_1.json,gpt-4o-mini,stop,1155,4074,5229
./jsoup-jsoup/2406b/MANTIS-tests-01/jsoup-jsoup/Parser/test_output/parseFragmentInput/fix_2_0.json,gpt-4o-mini,stop,1889,3823,5712
./jsoup-jsoup/2406b/MANTIS-tests-09/jsoup-jsoup/Parser/scenario_output/parseFragmentInput/scenario_2.json,o4-mini,stop,1588,9514,11102
./jsoup-jsoup/2406b/MANTIS-tests-09/jsoup-jsoup/Parser/scenario_output/parseFragmentInput/parseFragmentInput_0.json,,,0,0,0
./jsoup-jsoup/2406b/MANTIS-tests-09/jsoup-jsoup/Parser/scenario_output/parseFragmentInput/parseFragmentInput_2.json,,,0,0,0
./jsoup-jsoup/2406b/MANTIS-tests-09/jsoup-jsoup/Parser/scenario_output/parseFragmentInput/parseFragmentInput_1.json,,,0,0,0
./jsoup-jsoup/2406b/MANTIS-tests-09/jsoup-jsoup/Parser/scenario_output/parseFragmentInput/scenario_0.json,o4-mini,stop,2875,6110,8985
./jsoup-jsoup/2406b/MANTIS-tests-09/jsoup-jsoup/Parser/scenario_output/parseFragmentInput/scenario_1.json,o4-mini,stop,2677,7528,10205
./jsoup-jsoup/2406b/MANTIS-tests-09/jsoup-jsoup/Parser/test_output/parseFragmentInput/guide_0.json,gpt-4o-mini,stop,1177,7569,8746
./jsoup-jsoup/2406b/MANTIS-tests-09/jsoup-jsoup/Parser/test_output/parseFragmentInput/test_1.json,o4-mini,stop,2207,6305,8512
./jsoup-jsoup/2406b/MANTIS-tests-09/jsoup-jsoup/Parser/test_output/parseFragmentInput/test_0.json,o4-mini,stop,2896,6681,9577
./jsoup-jsoup/2406b/MANTIS-tests-09/jsoup-jsoup/Parser/test_output/parseFragmentInput/guide_1.json,gpt-4o-mini,stop,842,7395,8237
./jsoup-jsoup/2406b/MANTIS-tests-09/jsoup-jsoup/Parser/test_output/parseFragmentInput/fix_2_1.json,gpt-4o-mini,stop,2185,7203,9388
./jsoup-jsoup/2406b/MANTIS-tests-09/jsoup-jsoup/Parser/test_output/parseFragmentInput/test_2.json,o4-mini,stop,1476,5308,6784
./jsoup-jsoup/2406b/MANTIS-tests-09/jsoup-jsoup/Parser/test_output/parseFragmentInput/fix_2_2.json,gpt-4o-mini,stop,1153,2407,3560
./jsoup-jsoup/2406b/MANTIS-tests-09/jsoup-jsoup/Parser/test_output/parseFragmentInput/guide_2.json,gpt-4o-mini,stop,225,3216,3441
./jsoup-jsoup/2406b/MANTIS-tests-09/jsoup-jsoup/Parser/test_output/parseFragmentInput/fix_1_0.json,gpt-4o-mini,stop,2873,6933,9806
./jsoup-jsoup/2406b/MANTIS-tests-09/jsoup-jsoup/Parser/test_output/parseFragmentInput/fix_1_1.json,gpt-4o-mini,stop,2320,5157,7477
./jsoup-jsoup/2406b/MANTIS-tests-09/jsoup-jsoup/Parser/test_output/parseFragmentInput/fix_2_0.json,gpt-4o-mini,stop,2873,7712,10585
./jsoup-jsoup/2406b/MANTIS-tests-09/jsoup-jsoup/Parser/test_output/parseFragmentInput/fix_1_2.json,gpt-4o-mini,stop,1152,2433,3585
./jsoup-jsoup/2406b/MANTIS-tests-02/jsoup-jsoup/Parser/scenario_output/parseFragmentInput/scenario_2.json,o4-mini,stop,1758,7170,8928
./jsoup-jsoup/2406b/MANTIS-tests-02/jsoup-jsoup/Parser/scenario_output/parseFragmentInput/parseFragmentInput_0.json,,,0,0,0
./jsoup-jsoup/2406b/MANTIS-tests-02/jsoup-jsoup/Parser/scenario_output/parseFragmentInput/parseFragmentInput_2.json,,,0,0,0
./jsoup-jsoup/2406b/MANTIS-tests-02/jsoup-jsoup/Parser/scenario_output/parseFragmentInput/parseFragmentInput_1.json,,,0,0,0
