file_path,model,finish_reason,completion_tokens,prompt_tokens,total_tokens
./TheAlgorithms-Java/6563b/MANTIS-tests-01/TheAlgorithms-Java/MiniMaxAlgorithm/scenario_output/setScores/setScores_2.json,,,0,0,0
./TheAlgorithms-Java/6563b/MANTIS-tests-01/TheAlgorithms-Java/MiniMaxAlgorithm/scenario_output/setScores/scenario_2.json,o4-mini,stop,1648,4628,6276
./TheAlgorithms-Java/6563b/MANTIS-tests-01/TheAlgorithms-Java/MiniMaxAlgorithm/scenario_output/setScores/setScores_0.json,,,0,0,0
./TheAlgorithms-Java/6563b/MANTIS-tests-01/TheAlgorithms-Java/MiniMaxAlgorithm/scenario_output/setScores/setScores_1.json,,,0,0,0
./TheAlgorithms-Java/6563b/MANTIS-tests-01/TheAlgorithms-Java/MiniMaxAlgorithm/scenario_output/setScores/scenario_0.json,o4-mini,stop,1119,4588,5707
./TheAlgorithms-Java/6563b/MANTIS-tests-01/TheAlgorithms-Java/MiniMaxAlgorithm/scenario_output/setScores/scenario_1.json,o4-mini,stop,1481,4270,5751
./TheAlgorithms-Java/6563b/MANTIS-tests-01/TheAlgorithms-Java/MiniMaxAlgorithm/test_output/setScores/test_1.json,o4-mini,stop,576,3039,3615
./TheAlgorithms-Java/6563b/MANTIS-tests-01/TheAlgorithms-Java/MiniMaxAlgorithm/test_output/setScores/test_0.json,o4-mini,stop,970,3484,4454
./TheAlgorithms-Java/6563b/MANTIS-tests-01/TheAlgorithms-Java/MiniMaxAlgorithm/test_output/setScores/test_2.json,o4-mini,stop,716,3144,3860
./TheAlgorithms-Java/6563b/MANTIS-tests-09/TheAlgorithms-Java/MiniMaxAlgorithm/scenario_output/setScores/setScores_2.json,,,0,0,0
./TheAlgorithms-Java/6563b/MANTIS-tests-09/TheAlgorithms-Java/MiniMaxAlgorithm/scenario_output/setScores/scenario_2.json,o4-mini,stop,1813,4998,6811
./TheAlgorithms-Java/6563b/MANTIS-tests-09/TheAlgorithms-Java/MiniMaxAlgorithm/scenario_output/setScores/setScores_0.json,,,0,0,0
./TheAlgorithms-Java/6563b/MANTIS-tests-09/TheAlgorithms-Java/MiniMaxAlgorithm/scenario_output/setScores/setScores_1.json,,,0,0,0
./TheAlgorithms-Java/6563b/MANTIS-tests-09/TheAlgorithms-Java/MiniMaxAlgorithm/scenario_output/setScores/scenario_0.json,o4-mini,stop,1911,4588,6499
./TheAlgorithms-Java/6563b/MANTIS-tests-09/TheAlgorithms-Java/MiniMaxAlgorithm/scenario_output/setScores/scenario_1.json,o4-mini,stop,1169,4659,5828
./TheAlgorithms-Java/6563b/MANTIS-tests-09/TheAlgorithms-Java/MiniMaxAlgorithm/test_output/setScores/test_1.json,o4-mini,stop,509,3039,3548
./TheAlgorithms-Java/6563b/MANTIS-tests-09/TheAlgorithms-Java/MiniMaxAlgorithm/test_output/setScores/test_0.json,o4-mini,stop,1768,4062,5830
./TheAlgorithms-Java/6563b/MANTIS-tests-09/TheAlgorithms-Java/MiniMaxAlgorithm/test_output/setScores/test_2.json,o4-mini,stop,1256,3636,4892
./TheAlgorithms-Java/6563b/MANTIS-tests-02/TheAlgorithms-Java/MiniMaxAlgorithm/scenario_output/setScores/setScores_2.json,,,0,0,0
./TheAlgorithms-Java/6563b/MANTIS-tests-02/TheAlgorithms-Java/MiniMaxAlgorithm/scenario_output/setScores/scenario_2.json,o4-mini,stop,1418,4854,6272
./TheAlgorithms-Java/6563b/MANTIS-tests-02/TheAlgorithms-Java/MiniMaxAlgorithm/scenario_output/setScores/setScores_0.json,,,0,0,0
./TheAlgorithms-Java/6563b/MANTIS-tests-02/TheAlgorithms-Java/MiniMaxAlgorithm/scenario_output/setScores/setScores_1.json,,,0,0,0
./TheAlgorithms-Java/6563b/MANTIS-tests-02/TheAlgorithms-Java/MiniMaxAlgorithm/scenario_output/setScores/scenario_0.json,o4-mini,stop,1183,4588,5771
./TheAlgorithms-Java/6563b/MANTIS-tests-02/TheAlgorithms-Java/MiniMaxAlgorithm/scenario_output/setScores/scenario_1.json,o4-mini,stop,1372,4172,5544
./TheAlgorithms-Java/6563b/MANTIS-tests-02/TheAlgorithms-Java/MiniMaxAlgorithm/test_output/setScores/test_1.json,o4-mini,stop,1236,3179,4415
./TheAlgorithms-Java/6563b/MANTIS-tests-02/TheAlgorithms-Java/MiniMaxAlgorithm/test_output/setScores/test_0.json,o4-mini,stop,974,3497,4471
./TheAlgorithms-Java/6563b/MANTIS-tests-02/TheAlgorithms-Java/MiniMaxAlgorithm/test_output/setScores/test_2.json,o4-mini,stop,894,3295,4189
./TheAlgorithms-Java/6563b/MANTIS-tests-08/TheAlgorithms-Java/MiniMaxAlgorithm/scenario_output/setScores/setScores_2.json,,,0,0,0
./TheAlgorithms-Java/6563b/MANTIS-tests-08/TheAlgorithms-Java/MiniMaxAlgorithm/scenario_output/setScores/scenario_2.json,o4-mini,stop,1281,4265,5546
./TheAlgorithms-Java/6563b/MANTIS-tests-08/TheAlgorithms-Java/MiniMaxAlgorithm/scenario_output/setScores/setScores_0.json,,,0,0,0
./TheAlgorithms-Java/6563b/MANTIS-tests-08/TheAlgorithms-Java/MiniMaxAlgorithm/scenario_output/setScores/setScores_1.json,,,0,0,0
./TheAlgorithms-Java/6563b/MANTIS-tests-08/TheAlgorithms-Java/MiniMaxAlgorithm/scenario_output/setScores/scenario_0.json,o4-mini,stop,1348,4588,5936
./TheAlgorithms-Java/6563b/MANTIS-tests-08/TheAlgorithms-Java/MiniMaxAlgorithm/scenario_output/setScores/scenario_1.json,o4-mini,stop,471,4184,4655
./TheAlgorithms-Java/6563b/MANTIS-tests-08/TheAlgorithms-Java/MiniMaxAlgorithm/test_output/setScores/guide_0.json,gpt-4o-mini,stop,414,4316,4730
