file_path,model,finish_reason,completion_tokens,prompt_tokens,total_tokens
./TheAlgorithms-Java/6332b/MANTIS-tests-01/TheAlgorithms-Java/RowColumnWiseSorted2dArrayBinarySearch/scenario_output/search/search_0.json,,,0,0,0
./TheAlgorithms-Java/6332b/MANTIS-tests-01/TheAlgorithms-Java/RowColumnWiseSorted2dArrayBinarySearch/scenario_output/search/scenario_0.json,o4-mini,stop,1831,4214,6045
./TheAlgorithms-Java/6332b/MANTIS-tests-01/TheAlgorithms-Java/RowColumnWiseSorted2dArrayBinarySearch/test_output/search/test_0.json,o4-mini,stop,1142,3602,4744
./TheAlgorithms-Java/6332b/MANTIS-tests-09/TheAlgorithms-Java/RowColumnWiseSorted2dArrayBinarySearch/scenario_output/search/search_0.json,,,0,0,0
./TheAlgorithms-Java/6332b/MANTIS-tests-09/TheAlgorithms-Java/RowColumnWiseSorted2dArrayBinarySearch/scenario_output/search/scenario_0.json,o4-mini,stop,2417,4214,6631
./TheAlgorithms-Java/6332b/MANTIS-tests-09/TheAlgorithms-Java/RowColumnWiseSorted2dArrayBinarySearch/test_output/search/test_0.json,o4-mini,stop,1364,3763,5127
./TheAlgorithms-Java/6332b/MANTIS-tests-02/TheAlgorithms-Java/RowColumnWiseSorted2dArrayBinarySearch/scenario_output/search/search_0.json,,,0,0,0
./TheAlgorithms-Java/6332b/MANTIS-tests-02/TheAlgorithms-Java/RowColumnWiseSorted2dArrayBinarySearch/scenario_output/search/scenario_0.json,o4-mini,stop,3302,4214,7516
./TheAlgorithms-Java/6332b/MANTIS-tests-02/TheAlgorithms-Java/RowColumnWiseSorted2dArrayBinarySearch/test_output/search/test_0.json,o4-mini,stop,1556,4186,5742
./TheAlgorithms-Java/6332b/MANTIS-tests-08/TheAlgorithms-Java/RowColumnWiseSorted2dArrayBinarySearch/scenario_output/search/search_0.json,,,0,0,0
./TheAlgorithms-Java/6332b/MANTIS-tests-08/TheAlgorithms-Java/RowColumnWiseSorted2dArrayBinarySearch/scenario_output/search/scenario_0.json,o4-mini,stop,3798,4214,8012
./TheAlgorithms-Java/6332b/MANTIS-tests-08/TheAlgorithms-Java/RowColumnWiseSorted2dArrayBinarySearch/test_output/search/test_0.json,o4-mini,stop,1554,4726,6280
./TheAlgorithms-Java/6332b/MANTIS-tests-05/TheAlgorithms-Java/RowColumnWiseSorted2dArrayBinarySearch/scenario_output/search/search_0.json,,,0,0,0
./TheAlgorithms-Java/6332b/MANTIS-tests-05/TheAlgorithms-Java/RowColumnWiseSorted2dArrayBinarySearch/scenario_output/search/scenario_0.json,o4-mini,stop,2867,4214,7081
./TheAlgorithms-Java/6332b/MANTIS-tests-05/TheAlgorithms-Java/RowColumnWiseSorted2dArrayBinarySearch/test_output/search/test_0.json,o4-mini,stop,1713,4305,6018
./TheAlgorithms-Java/6332b/MANTIS-tests-03/TheAlgorithms-Java/RowColumnWiseSorted2dArrayBinarySearch/scenario_output/search/scenario_0.json,o4-mini,stop,2640,4214,6854
./TheAlgorithms-Java/6332b/MANTIS-tests-03/TheAlgorithms-Java/RowColumnWiseSorted2dArrayBinarySearch/test_output/search/test_0.json,o4-mini,stop,1692,4195,5887
./TheAlgorithms-Java/6332b/MANTIS-tests-06/TheAlgorithms-Java/RowColumnWiseSorted2dArrayBinarySearch/scenario_output/search/search_0.json,,,0,0,0
./TheAlgorithms-Java/6332b/MANTIS-tests-06/TheAlgorithms-Java/RowColumnWiseSorted2dArrayBinarySearch/scenario_output/search/scenario_0.json,o4-mini,stop,3056,4214,7270
./TheAlgorithms-Java/6332b/MANTIS-tests-06/TheAlgorithms-Java/RowColumnWiseSorted2dArrayBinarySearch/test_output/search/test_0.json,o4-mini,stop,1758,4537,6295
./TheAlgorithms-Java/6332b/MANTIS-tests.preexist-01/TheAlgorithms-Java/RowColumnWiseSorted2dArrayBinarySearch/scenario_output/search/search_1.json,,,0,0,0
./TheAlgorithms-Java/6332b/MANTIS-tests.preexist-01/TheAlgorithms-Java/RowColumnWiseSorted2dArrayBinarySearch/scenario_output/search/search_0.json,,,0,0,0
./TheAlgorithms-Java/6332b/MANTIS-tests.preexist-01/TheAlgorithms-Java/RowColumnWiseSorted2dArrayBinarySearch/scenario_output/search/scenario_0.json,o4-mini,stop,3409,4214,7623
./TheAlgorithms-Java/6332b/MANTIS-tests.preexist-01/TheAlgorithms-Java/RowColumnWiseSorted2dArrayBinarySearch/scenario_output/search/scenario_1.json,o4-mini,stop,1754,4214,5968
./TheAlgorithms-Java/6332b/MANTIS-tests.preexist-01/TheAlgorithms-Java/RowColumnWiseSorted2dArrayBinarySearch/test_output/search/guide_0.json,gpt-4o-mini,stop,387,2944,3331
./TheAlgorithms-Java/6332b/MANTIS-tests.preexist-01/TheAlgorithms-Java/RowColumnWiseSorted2dArrayBinarySearch/test_output/search/test_0.json,o4-mini,stop,1707,4646,6353
./TheAlgorithms-Java/6332b/MANTIS-tests.preexist-01/TheAlgorithms-Java/RowColumnWiseSorted2dArrayBinarySearch/test_output/search/fix_1_0.json,gpt-4o-mini,stop,1225,2800,4025
./TheAlgorithms-Java/6332b/MANTIS-tests.preexist-01/TheAlgorithms-Java/RowColumnWiseSorted2dArrayBinarySearch/test_output/search/fix_2_0.json,gpt-4o-mini,stop,1223,2308,3531
