file_path,model,finish_reason,completion_tokens,prompt_tokens,total_tokens
./jsoup-jsoup/2425b/MANTIS-tests-01/jsoup-jsoup/Parser/scenario_output/parseInput/scenario_2.json,o4-mini,stop,1526,6731,8257
./jsoup-jsoup/2425b/MANTIS-tests-01/jsoup-jsoup/Parser/scenario_output/parseInput/parseInput_0.json,,,0,0,0
./jsoup-jsoup/2425b/MANTIS-tests-01/jsoup-jsoup/Parser/scenario_output/parseInput/parseInput_2.json,,,0,0,0
./jsoup-jsoup/2425b/MANTIS-tests-01/jsoup-jsoup/Parser/scenario_output/parseInput/parseInput_1.json,,,0,0,0
./jsoup-jsoup/2425b/MANTIS-tests-01/jsoup-jsoup/Parser/scenario_output/parseInput/scenario_0.json,o4-mini,stop,1447,6104,7551
./jsoup-jsoup/2425b/MANTIS-tests-01/jsoup-jsoup/Parser/scenario_output/parseInput/scenario_1.json,o4-mini,stop,1071,6077,7148
./jsoup-jsoup/2425b/MANTIS-tests-01/jsoup-jsoup/Parser/test_output/parseInput/guide_0.json,gpt-4o-mini,stop,441,3501,3942
./jsoup-jsoup/2425b/MANTIS-tests-01/jsoup-jsoup/Parser/test_output/parseInput/test_1.json,o4-mini,stop,1443,4778,6221
./jsoup-jsoup/2425b/MANTIS-tests-01/jsoup-jsoup/Parser/test_output/parseInput/test_0.json,o4-mini,stop,1727,5158,6885
./jsoup-jsoup/2425b/MANTIS-tests-01/jsoup-jsoup/Parser/test_output/parseInput/test_2.json,o4-mini,stop,819,4725,5544
./jsoup-jsoup/2425b/MANTIS-tests-01/jsoup-jsoup/Parser/test_output/parseInput/fix_2_2.json,gpt-4o-mini,stop,638,1527,2165
./jsoup-jsoup/2425b/MANTIS-tests-01/jsoup-jsoup/Parser/test_output/parseInput/guide_2.json,gpt-4o-mini,stop,126,2435,2561
./jsoup-jsoup/2425b/MANTIS-tests-01/jsoup-jsoup/Parser/test_output/parseInput/fix_1_0.json,gpt-4o-mini,stop,1154,2572,3726
./jsoup-jsoup/2425b/MANTIS-tests-01/jsoup-jsoup/Parser/test_output/parseInput/fix_2_0.json,gpt-4o-mini,stop,1200,2908,4108
./jsoup-jsoup/2425b/MANTIS-tests-01/jsoup-jsoup/Parser/test_output/parseInput/fix_1_2.json,gpt-4o-mini,stop,626,1512,2138
./jsoup-jsoup/2425b/MANTIS-tests-09/jsoup-jsoup/Parser/scenario_output/parseInput/scenario_2.json,o4-mini,stop,1262,7119,8381
