file_path,model,finish_reason,completion_tokens,prompt_tokens,total_tokens
./jsoup-jsoup/2397b/MANTIS-tests-01/jsoup-jsoup/Jsoup/scenario_output/parseBodyFragment/scenario_2.json,o4-mini,stop,1222,8170,9392
./jsoup-jsoup/2397b/MANTIS-tests-01/jsoup-jsoup/Jsoup/scenario_output/parseBodyFragment/parseBodyFragment_0.json,,,0,0,0
./jsoup-jsoup/2397b/MANTIS-tests-01/jsoup-jsoup/Jsoup/scenario_output/parseBodyFragment/parseBodyFragment_1.json,,,0,0,0
./jsoup-jsoup/2397b/MANTIS-tests-01/jsoup-jsoup/Jsoup/scenario_output/parseBodyFragment/parseBodyFragment_2.json,,,0,0,0
./jsoup-jsoup/2397b/MANTIS-tests-01/jsoup-jsoup/Jsoup/scenario_output/parseBodyFragment/scenario_0.json,o4-mini,stop,2070,7820,9890
./jsoup-jsoup/2397b/MANTIS-tests-01/jsoup-jsoup/Jsoup/scenario_output/parseBodyFragment/scenario_1.json,o4-mini,stop,1227,7658,8885
./jsoup-jsoup/2397b/MANTIS-tests-01/jsoup-jsoup/Jsoup/test_output/parseBodyFragment/test_1.json,o4-mini,stop,625,6528,7153
./jsoup-jsoup/2397b/MANTIS-tests-01/jsoup-jsoup/Jsoup/test_output/parseBodyFragment/test_0.json,o4-mini,stop,1066,7598,8664
./jsoup-jsoup/2397b/MANTIS-tests-01/jsoup-jsoup/Jsoup/test_output/parseBodyFragment/test_2.json,o4-mini,stop,789,6518,7307
./jsoup-jsoup/2397b/MANTIS-tests-09/jsoup-jsoup/Jsoup/scenario_output/parseBodyFragment/scenario_2.json,o4-mini,stop,1030,8395,9425
./jsoup-jsoup/2397b/MANTIS-tests-09/jsoup-jsoup/Jsoup/scenario_output/parseBodyFragment/parseBodyFragment_0.json,,,0,0,0
./jsoup-jsoup/2397b/MANTIS-tests-09/jsoup-jsoup/Jsoup/scenario_output/parseBodyFragment/parseBodyFragment_1.json,,,0,0,0
./jsoup-jsoup/2397b/MANTIS-tests-09/jsoup-jsoup/Jsoup/scenario_output/parseBodyFragment/parseBodyFragment_2.json,,,0,0,0
./jsoup-jsoup/2397b/MANTIS-tests-09/jsoup-jsoup/Jsoup/scenario_output/parseBodyFragment/scenario_0.json,o4-mini,stop,2314,7820,10134
./jsoup-jsoup/2397b/MANTIS-tests-09/jsoup-jsoup/Jsoup/scenario_output/parseBodyFragment/scenario_1.json,o4-mini,stop,1359,7910,9269
./jsoup-jsoup/2397b/MANTIS-tests-09/jsoup-jsoup/Jsoup/test_output/parseBodyFragment/test_1.json,o4-mini,stop,609,6397,7006
./jsoup-jsoup/2397b/MANTIS-tests-09/jsoup-jsoup/Jsoup/test_output/parseBodyFragment/test_0.json,o4-mini,stop,1386,8030,9416
./jsoup-jsoup/2397b/MANTIS-tests-09/jsoup-jsoup/Jsoup/test_output/parseBodyFragment/test_2.json,o4-mini,stop,778,6292,7070
./jsoup-jsoup/2397b/MANTIS-tests-02/jsoup-jsoup/Jsoup/scenario_output/parseBodyFragment/scenario_2.json,o4-mini,stop,1132,8011,9143
./jsoup-jsoup/2397b/MANTIS-tests-02/jsoup-jsoup/Jsoup/scenario_output/parseBodyFragment/parseBodyFragment_0.json,,,0,0,0
./jsoup-jsoup/2397b/MANTIS-tests-02/jsoup-jsoup/Jsoup/scenario_output/parseBodyFragment/parseBodyFragment_1.json,,,0,0,0
./jsoup-jsoup/2397b/MANTIS-tests-02/jsoup-jsoup/Jsoup/scenario_output/parseBodyFragment/parseBodyFragment_2.json,,,0,0,0
./jsoup-jsoup/2397b/MANTIS-tests-02/jsoup-jsoup/Jsoup/scenario_output/parseBodyFragment/scenario_0.json,o4-mini,stop,1747,7820,9567
./jsoup-jsoup/2397b/MANTIS-tests-02/jsoup-jsoup/Jsoup/scenario_output/parseBodyFragment/scenario_1.json,o4-mini,stop,791,7670,8461
./jsoup-jsoup/2397b/MANTIS-tests-02/jsoup-jsoup/Jsoup/test_output/parseBodyFragment/test_1.json,o4-mini,stop,714,6277,6991
./jsoup-jsoup/2397b/MANTIS-tests-02/jsoup-jsoup/Jsoup/test_output/parseBodyFragment/test_0.json,o4-mini,stop,1357,7257,8614
./jsoup-jsoup/2397b/MANTIS-tests-02/jsoup-jsoup/Jsoup/test_output/parseBodyFragment/test_2.json,o4-mini,stop,873,6358,7231
./jsoup-jsoup/2397b/MANTIS-tests-08/jsoup-jsoup/Jsoup/scenario_output/parseBodyFragment/scenario_2.json,o4-mini,stop,663,8607,9270
./jsoup-jsoup/2397b/MANTIS-tests-08/jsoup-jsoup/Jsoup/scenario_output/parseBodyFragment/parseBodyFragment_0.json,,,0,0,0
./jsoup-jsoup/2397b/MANTIS-tests-08/jsoup-jsoup/Jsoup/scenario_output/parseBodyFragment/parseBodyFragment_1.json,,,0,0,0
./jsoup-jsoup/2397b/MANTIS-tests-08/jsoup-jsoup/Jsoup/scenario_output/parseBodyFragment/parseBodyFragment_2.json,,,0,0,0
./jsoup-jsoup/2397b/MANTIS-tests-08/jsoup-jsoup/Jsoup/scenario_output/parseBodyFragment/scenario_0.json,o4-mini,stop,2980,7820,10800
./jsoup-jsoup/2397b/MANTIS-tests-08/jsoup-jsoup/Jsoup/scenario_output/parseBodyFragment/scenario_1.json,o4-mini,stop,1170,8165,9335
./jsoup-jsoup/2397b/MANTIS-tests-08/jsoup-jsoup/Jsoup/test_output/parseBodyFragment/test_1.json,o4-mini,stop,624,6336,6960
./jsoup-jsoup/2397b/MANTIS-tests-08/jsoup-jsoup/Jsoup/test_output/parseBodyFragment/test_0.json,o4-mini,stop,1513,8136,9649
./jsoup-jsoup/2397b/MANTIS-tests-08/jsoup-jsoup/Jsoup/test_output/parseBodyFragment/test_2.json,o4-mini,stop,144,5880,6024
./jsoup-jsoup/2397b/MANTIS-tests-05/jsoup-jsoup/Jsoup/scenario_output/parseBodyFragment/scenario_2.json,o4-mini,stop,1758,7881,9639
