file_path,model,finish_reason,completion_tokens,prompt_tokens,total_tokens,input_cost,output_cost,total_cost,model_key
./jsoup-jsoup/2452b/MANTIS-tests-02.bak-20260304-202906/jsoup-jsoup/Jsoup/scenario_output/parse/scenario_2.json,o4-mini,stop,3045,9329,12374,0.010261900000000001,0.013398,0.0236599,o4-mini
./jsoup-jsoup/2452b/MANTIS-tests-02.bak-20260304-202906/jsoup-jsoup/Jsoup/scenario_output/parse/parse_1.json,,,0,0,0,0.0,0.0,0.0,unknown
./jsoup-jsoup/2452b/MANTIS-tests-02.bak-20260304-202906/jsoup-jsoup/Jsoup/scenario_output/parse/parse_0.json,,,0,0,0,0.0,0.0,0.0,unknown
./jsoup-jsoup/2452b/MANTIS-tests-02.bak-20260304-202906/jsoup-jsoup/Jsoup/scenario_output/parse/parse_2.json,,,0,0,0,0.0,0.0,0.0,unknown
./jsoup-jsoup/2452b/MANTIS-tests-02.bak-20260304-202906/jsoup-jsoup/Jsoup/scenario_output/parse/scenario_0.json,o4-mini,stop,2780,7808,10588,0.0085888,0.012232,0.0208208,o4-mini
./jsoup-jsoup/2452b/MANTIS-tests-02.bak-20260304-202906/jsoup-jsoup/Jsoup/scenario_output/parse/scenario_1.json,o4-mini,stop,1743,8186,9929,0.0090046,0.0076692,0.0166738,o4-mini
./jsoup-jsoup/2452b/MANTIS-tests-02.bak-20260304-202906/jsoup-jsoup/Jsoup/test_output/parse/guide_0.json,gpt-4o-mini,stop,13,3280,3293,0.0004919999999999999,7.8e-06,0.0004997999999999999,gpt-4o-mini
./jsoup-jsoup/2452b/MANTIS-tests-02.bak-20260304-202906/jsoup-jsoup/Jsoup/test_output/parse/test_1.json,o4-mini,stop,1425,7666,9091,0.0084326,0.00627,0.0147026,o4-mini
./jsoup-jsoup/2452b/MANTIS-tests-02.bak-20260304-202906/jsoup-jsoup/Jsoup/test_output/parse/test_0.json,o4-mini,stop,1938,8288,10226,0.009116800000000001,0.0085272,0.017644,o4-mini
./jsoup-jsoup/2452b/MANTIS-tests-02.bak-20260304-202906/jsoup-jsoup/Jsoup/test_output/parse/guide_1.json,gpt-4o-mini,stop,13,2888,2901,0.00043319999999999996,7.8e-06,0.000441,gpt-4o-mini
./jsoup-jsoup/2452b/MANTIS-tests-02.bak-20260304-202906/jsoup-jsoup/Jsoup/test_output/parse/fix_2_1.json,gpt-4o-mini,stop,1286,1867,3153,0.00028005,0.0007716,0.00105165,gpt-4o-mini
./jsoup-jsoup/2452b/MANTIS-tests-02.bak-20260304-202906/jsoup-jsoup/Jsoup/test_output/parse/test_2.json,o4-mini,stop,1284,7675,8959,0.0084425,0.0056496,0.0140921,o4-mini
./jsoup-jsoup/2452b/MANTIS-tests-02.bak-20260304-202906/jsoup-jsoup/Jsoup/test_output/parse/fix_2_2.json,gpt-4o-mini,stop,1393,2196,3589,0.0003294,0.0008357999999999999,0.0011652,gpt-4o-mini
./jsoup-jsoup/2452b/MANTIS-tests-02.bak-20260304-202906/jsoup-jsoup/Jsoup/test_output/parse/guide_2.json,gpt-4o-mini,stop,299,2931,3230,0.00043965,0.0001794,0.00061905,gpt-4o-mini
./jsoup-jsoup/2452b/MANTIS-tests-02.bak-20260304-202906/jsoup-jsoup/Jsoup/test_output/parse/fix_1_0.json,gpt-4o-mini,stop,1750,2309,4059,0.00034635,0.00105,0.00139635,gpt-4o-mini
./jsoup-jsoup/2452b/MANTIS-tests-02.bak-20260304-202906/jsoup-jsoup/Jsoup/test_output/parse/fix_1_1.json,gpt-4o-mini,stop,1286,2011,3297,0.00030165,0.0007716,0.00107325,gpt-4o-mini
./jsoup-jsoup/2452b/MANTIS-tests-02.bak-20260304-202906/jsoup-jsoup/Jsoup/test_output/parse/fix_2_0.json,gpt-4o-mini,stop,1742,2259,4001,0.00033884999999999997,0.0010452,0.00138405,gpt-4o-mini
./jsoup-jsoup/2452b/MANTIS-tests-02.bak-20260304-202906/jsoup-jsoup/Jsoup/test_output/parse/fix_1_2.json,gpt-4o-mini,stop,1307,2251,3558,0.00033765,0.0007842,0.00112185,gpt-4o-mini
./jsoup-jsoup/2452b/MANTIS-tests-06.bak-20260304-204652/jsoup-jsoup/Jsoup/scenario_output/parse/scenario_2.json,o4-mini,stop,2328,9542,11870,0.0104962,0.010243200000000001,0.0207394,o4-mini
./jsoup-jsoup/2452b/MANTIS-tests-06.bak-20260304-204652/jsoup-jsoup/Jsoup/scenario_output/parse/parse_1.json,,,0,0,0,0.0,0.0,0.0,unknown
./jsoup-jsoup/2452b/MANTIS-tests-06.bak-20260304-204652/jsoup-jsoup/Jsoup/scenario_output/parse/parse_0.json,,,0,0,0,0.0,0.0,0.0,unknown
./jsoup-jsoup/2452b/MANTIS-tests-06.bak-20260304-204652/jsoup-jsoup/Jsoup/scenario_output/parse/parse_2.json,,,0,0,0,0.0,0.0,0.0,unknown
./jsoup-jsoup/2452b/MANTIS-tests-06.bak-20260304-204652/jsoup-jsoup/Jsoup/scenario_output/parse/scenario_0.json,o4-mini,stop,2165,7808,9973,0.0085888,0.009526,0.0181148,o4-mini
./jsoup-jsoup/2452b/MANTIS-tests-06.bak-20260304-204652/jsoup-jsoup/Jsoup/scenario_output/parse/scenario_1.json,o4-mini,stop,2411,7795,10206,0.0085745,0.0106084,0.019182900000000003,o4-mini
./jsoup-jsoup/2452b/MANTIS-tests-06.bak-20260304-204652/jsoup-jsoup/Jsoup/test_output/parse/guide_0.json,gpt-4o-mini,stop,197,3287,3484,0.00049305,0.0001182,0.00061125,gpt-4o-mini
./jsoup-jsoup/2452b/MANTIS-tests-06.bak-20260304-204652/jsoup-jsoup/Jsoup/test_output/parse/test_1.json,o4-mini,stop,2268,7770,10038,0.008547,0.0099792,0.0185262,o4-mini
./jsoup-jsoup/2452b/MANTIS-tests-06.bak-20260304-204652/jsoup-jsoup/Jsoup/test_output/parse/test_0.json,o4-mini,stop,1607,8008,9615,0.0088088,0.0070708,0.0158796,o4-mini
./jsoup-jsoup/2452b/MANTIS-tests-06.bak-20260304-204652/jsoup-jsoup/Jsoup/test_output/parse/guide_1.json,gpt-4o-mini,stop,13,3456,3469,0.0005184,7.8e-06,0.0005262,gpt-4o-mini
./jsoup-jsoup/2452b/MANTIS-tests-06.bak-20260304-204652/jsoup-jsoup/Jsoup/test_output/parse/fix_2_1.json,gpt-4o-mini,stop,1920,2435,4355,0.00036524999999999996,0.001152,0.00151725,gpt-4o-mini
./jsoup-jsoup/2452b/MANTIS-tests-06.bak-20260304-204652/jsoup-jsoup/Jsoup/test_output/parse/test_2.json,o4-mini,stop,1357,7342,8699,0.0080762,0.0059708,0.014047,o4-mini
./jsoup-jsoup/2452b/MANTIS-tests-06.bak-20260304-204652/jsoup-jsoup/Jsoup/test_output/parse/fix_2_2.json,gpt-4o-mini,stop,1333,3378,4711,0.0005067,0.0007997999999999999,0.0013065,gpt-4o-mini
./jsoup-jsoup/2452b/MANTIS-tests-06.bak-20260304-204652/jsoup-jsoup/Jsoup/test_output/parse/guide_2.json,gpt-4o-mini,stop,493,3919,4412,0.00058785,0.0002958,0.0008836499999999999,gpt-4o-mini
