file_path,model,finish_reason,completion_tokens,prompt_tokens,total_tokens,input_cost,output_cost,total_cost,model_key
./TheAlgorithms-Java/5697b/MANTIS-tests-01/TheAlgorithms-Java/BM25InvertedIndex/scenario_output/search/search_0.json,,,0,0,0,0.0,0.0,0.0,unknown
./TheAlgorithms-Java/5697b/MANTIS-tests-01/TheAlgorithms-Java/BM25InvertedIndex/scenario_output/search/scenario_0.json,o4-mini,stop,2130,5737,7867,0.006310700000000001,0.009372,0.0156827,o4-mini
./TheAlgorithms-Java/5697b/MANTIS-tests-01/TheAlgorithms-Java/BM25InvertedIndex/test_output/search/test_0.json,o4-mini,stop,1599,5304,6903,0.0058344,0.0070356,0.01287,o4-mini
./TheAlgorithms-Java/5697b/MANTIS-tests-09/TheAlgorithms-Java/BM25InvertedIndex/scenario_output/search/search_0.json,,,0,0,0,0.0,0.0,0.0,unknown
./TheAlgorithms-Java/5697b/MANTIS-tests-09/TheAlgorithms-Java/BM25InvertedIndex/scenario_output/search/scenario_0.json,o4-mini,stop,2934,5737,8671,0.006310700000000001,0.0129096,0.019220300000000003,o4-mini
./TheAlgorithms-Java/5697b/MANTIS-tests-09/TheAlgorithms-Java/BM25InvertedIndex/test_output/search/test_0.json,o4-mini,stop,1637,5997,7634,0.0065967000000000005,0.0072028000000000005,0.013799500000000001,o4-mini
./TheAlgorithms-Java/5697b/MANTIS-tests-02/TheAlgorithms-Java/BM25InvertedIndex/scenario_output/search/search_0.json,,,0,0,0,0.0,0.0,0.0,unknown
./TheAlgorithms-Java/5697b/MANTIS-tests-02/TheAlgorithms-Java/BM25InvertedIndex/scenario_output/search/scenario_0.json,o4-mini,stop,1239,5737,6976,0.006310700000000001,0.0054516,0.0117623,o4-mini
./TheAlgorithms-Java/5697b/MANTIS-tests-02/TheAlgorithms-Java/BM25InvertedIndex/test_output/search/test_0.json,o4-mini,stop,1532,4864,6396,0.0053504,0.0067408,0.0120912,o4-mini
./TheAlgorithms-Java/5697b/MANTIS-tests-08/TheAlgorithms-Java/BM25InvertedIndex/scenario_output/search/search_0.json,,,0,0,0,0.0,0.0,0.0,unknown
