file_path,model,finish_reason,completion_tokens,prompt_tokens,total_tokens,input_cost,output_cost,total_cost,model_key
./jsoup-jsoup/2266b/MANTIS-tests-01/jsoup-jsoup/Document/scenario_output/charset/scenario_2.json,o4-mini,stop,951,9076,10027,0.0099836,0.0041844000000000004,0.014168,o4-mini
./jsoup-jsoup/2266b/MANTIS-tests-01/jsoup-jsoup/Document/scenario_output/charset/charset_1.json,,,0,0,0,0.0,0.0,0.0,unknown
./jsoup-jsoup/2266b/MANTIS-tests-01/jsoup-jsoup/Document/scenario_output/charset/charset_2.json,,,0,0,0,0.0,0.0,0.0,unknown
./jsoup-jsoup/2266b/MANTIS-tests-01/jsoup-jsoup/Document/scenario_output/charset/charset_0.json,,,0,0,0,0.0,0.0,0.0,unknown
./jsoup-jsoup/2266b/MANTIS-tests-01/jsoup-jsoup/Document/scenario_output/charset/scenario_0.json,o4-mini,stop,2642,8164,10806,0.008980400000000001,0.011624800000000001,0.020605200000000004,o4-mini
./jsoup-jsoup/2266b/MANTIS-tests-01/jsoup-jsoup/Document/scenario_output/charset/scenario_1.json,o4-mini,stop,1681,8454,10135,0.009299400000000001,0.0073964,0.0166958,o4-mini
./jsoup-jsoup/2266b/MANTIS-tests-01/jsoup-jsoup/Document/test_output/charset/test_1.json,o4-mini,stop,804,6883,7687,0.0075713,0.0035376,0.011108900000000001,o4-mini
./jsoup-jsoup/2266b/MANTIS-tests-01/jsoup-jsoup/Document/test_output/charset/test_0.json,o4-mini,stop,2026,7978,10004,0.0087758,0.008914400000000001,0.017690200000000003,o4-mini
./jsoup-jsoup/2266b/MANTIS-tests-01/jsoup-jsoup/Document/test_output/charset/test_2.json,o4-mini,stop,751,6591,7342,0.007250100000000001,0.0033044000000000003,0.010554500000000001,o4-mini
./jsoup-jsoup/2266b/MANTIS-tests-09/jsoup-jsoup/Document/scenario_output/charset/scenario_2.json,o4-mini,stop,2033,9285,11318,0.0102135,0.0089452,0.0191587,o4-mini
./jsoup-jsoup/2266b/MANTIS-tests-09/jsoup-jsoup/Document/scenario_output/charset/charset_1.json,,,0,0,0,0.0,0.0,0.0,unknown
./jsoup-jsoup/2266b/MANTIS-tests-09/jsoup-jsoup/Document/scenario_output/charset/charset_2.json,,,0,0,0,0.0,0.0,0.0,unknown
./jsoup-jsoup/2266b/MANTIS-tests-09/jsoup-jsoup/Document/scenario_output/charset/scenario_0.json,o4-mini,stop,2157,8164,10321,0.008980400000000001,0.0094908,0.0184712,o4-mini
./jsoup-jsoup/2266b/MANTIS-tests-09/jsoup-jsoup/Document/scenario_output/charset/scenario_1.json,o4-mini,stop,1414,8415,9829,0.0092565,0.006221600000000001,0.015478100000000002,o4-mini
./jsoup-jsoup/2266b/MANTIS-tests-09/jsoup-jsoup/Document/test_output/charset/guide_0.json,gpt-4o-mini,stop,269,3408,3677,0.0005112,0.0001614,0.0006726,gpt-4o-mini
./jsoup-jsoup/2266b/MANTIS-tests-09/jsoup-jsoup/Document/test_output/charset/test_1.json,o4-mini,stop,1389,7003,8392,0.007703300000000001,0.0061116,0.013814900000000001,o4-mini
./jsoup-jsoup/2266b/MANTIS-tests-09/jsoup-jsoup/Document/test_output/charset/test_0.json,o4-mini,stop,1584,8045,9629,0.0088495,0.0069696,0.0158191,o4-mini
./jsoup-jsoup/2266b/MANTIS-tests-09/jsoup-jsoup/Document/test_output/charset/guide_1.json,gpt-4o-mini,stop,207,2848,3055,0.0004272,0.00012419999999999998,0.0005514,gpt-4o-mini
./jsoup-jsoup/2266b/MANTIS-tests-09/jsoup-jsoup/Document/test_output/charset/fix_2_1.json,gpt-4o-mini,stop,925,2021,2946,0.00030314999999999997,0.0005549999999999999,0.0008581499999999999,gpt-4o-mini
./jsoup-jsoup/2266b/MANTIS-tests-09/jsoup-jsoup/Document/test_output/charset/test_2.json,o4-mini,stop,1363,7241,8604,0.007965100000000001,0.0059972,0.0139623,o4-mini
./jsoup-jsoup/2266b/MANTIS-tests-09/jsoup-jsoup/Document/test_output/charset/fix_2_2.json,gpt-4o-mini,stop,933,1833,2766,0.00027495,0.0005598,0.00083475,gpt-4o-mini
./jsoup-jsoup/2266b/MANTIS-tests-09/jsoup-jsoup/Document/test_output/charset/guide_2.json,gpt-4o-mini,stop,126,2741,2867,0.00041115,7.56e-05,0.00048675,gpt-4o-mini
./jsoup-jsoup/2266b/MANTIS-tests-09/jsoup-jsoup/Document/test_output/charset/fix_1_0.json,gpt-4o-mini,stop,1568,2575,4143,0.00038625,0.0009408,0.00132705,gpt-4o-mini
./jsoup-jsoup/2266b/MANTIS-tests-09/jsoup-jsoup/Document/test_output/charset/fix_1_1.json,gpt-4o-mini,stop,933,2019,2952,0.00030284999999999996,0.0005598,0.00086265,gpt-4o-mini
./jsoup-jsoup/2266b/MANTIS-tests-09/jsoup-jsoup/Document/test_output/charset/fix_2_0.json,gpt-4o-mini,stop,1568,2643,4211,0.00039644999999999996,0.0009408,0.00133725,gpt-4o-mini
./jsoup-jsoup/2266b/MANTIS-tests-09/jsoup-jsoup/Document/test_output/charset/fix_1_2.json,gpt-4o-mini,stop,933,1845,2778,0.00027675,0.0005598,0.0008365499999999999,gpt-4o-mini
./jsoup-jsoup/2266b/MANTIS-tests-02/jsoup-jsoup/Document/scenario_output/charset/scenario_2.json,o4-mini,stop,1950,9442,11392,0.0103862,0.00858,0.018966200000000003,o4-mini
./jsoup-jsoup/2266b/MANTIS-tests-02/jsoup-jsoup/Document/scenario_output/charset/charset_1.json,,,0,0,0,0.0,0.0,0.0,unknown
./jsoup-jsoup/2266b/MANTIS-tests-02/jsoup-jsoup/Document/scenario_output/charset/charset_2.json,,,0,0,0,0.0,0.0,0.0,unknown
./jsoup-jsoup/2266b/MANTIS-tests-02/jsoup-jsoup/Document/scenario_output/charset/charset_0.json,,,0,0,0,0.0,0.0,0.0,unknown
./jsoup-jsoup/2266b/MANTIS-tests-02/jsoup-jsoup/Document/scenario_output/charset/scenario_0.json,o4-mini,stop,2990,8164,11154,0.008980400000000001,0.013156000000000001,0.0221364,o4-mini
./jsoup-jsoup/2266b/MANTIS-tests-02/jsoup-jsoup/Document/scenario_output/charset/scenario_1.json,o4-mini,stop,1529,8373,9902,0.009210300000000001,0.0067276,0.0159379,o4-mini
./jsoup-jsoup/2266b/MANTIS-tests-02/jsoup-jsoup/Document/test_output/charset/test_1.json,o4-mini,stop,1455,7179,8634,0.0078969,0.006402000000000001,0.0142989,o4-mini
./jsoup-jsoup/2266b/MANTIS-tests-02/jsoup-jsoup/Document/test_output/charset/test_0.json,o4-mini,stop,1616,8537,10153,0.0093907,0.0071104,0.0165011,o4-mini
./jsoup-jsoup/2266b/MANTIS-tests-02/jsoup-jsoup/Document/test_output/charset/test_2.json,o4-mini,stop,843,6832,7675,0.0075152000000000005,0.0037092,0.0112244,o4-mini
./jsoup-jsoup/2266b/MANTIS-tests-08/jsoup-jsoup/Document/scenario_output/charset/scenario_2.json,o4-mini,stop,1444,9286,10730,0.0102146,0.0063536,0.0165682,o4-mini
./jsoup-jsoup/2266b/MANTIS-tests-08/jsoup-jsoup/Document/scenario_output/charset/charset_1.json,,,0,0,0,0.0,0.0,0.0,unknown
./jsoup-jsoup/2266b/MANTIS-tests-08/jsoup-jsoup/Document/scenario_output/charset/charset_2.json,,,0,0,0,0.0,0.0,0.0,unknown
./jsoup-jsoup/2266b/MANTIS-tests-08/jsoup-jsoup/Document/scenario_output/charset/charset_0.json,,,0,0,0,0.0,0.0,0.0,unknown
./jsoup-jsoup/2266b/MANTIS-tests-08/jsoup-jsoup/Document/scenario_output/charset/scenario_0.json,o4-mini,stop,2783,8164,10947,0.008980400000000001,0.012245200000000001,0.021225600000000004,o4-mini
./jsoup-jsoup/2266b/MANTIS-tests-08/jsoup-jsoup/Document/scenario_output/charset/scenario_1.json,o4-mini,stop,1754,8458,10212,0.009303800000000001,0.007717600000000001,0.017021400000000003,o4-mini
./jsoup-jsoup/2266b/MANTIS-tests-08/jsoup-jsoup/Document/test_output/charset/guide_0.json,gpt-4o-mini,stop,1038,4016,5054,0.0006024,0.0006228,0.0012252,gpt-4o-mini
./jsoup-jsoup/2266b/MANTIS-tests-08/jsoup-jsoup/Document/test_output/charset/test_1.json,o4-mini,stop,1327,7022,8349,0.0077242000000000005,0.0058388,0.013563,o4-mini
./jsoup-jsoup/2266b/MANTIS-tests-08/jsoup-jsoup/Document/test_output/charset/test_0.json,o4-mini,stop,1729,8229,9958,0.0090519,0.007607600000000001,0.0166595,o4-mini
./jsoup-jsoup/2266b/MANTIS-tests-08/jsoup-jsoup/Document/test_output/charset/test_2.json,o4-mini,stop,1271,7113,8384,0.007824300000000001,0.0055924,0.0134167,o4-mini
./jsoup-jsoup/2266b/MANTIS-tests-08/jsoup-jsoup/Document/test_output/charset/fix_1_0.json,gpt-4o-mini,stop,1610,3889,5499,0.00058335,0.000966,0.00154935,gpt-4o-mini
./jsoup-jsoup/2266b/MANTIS-tests-08/jsoup-jsoup/Document/test_output/charset/fix_2_0.json,gpt-4o-mini,stop,1654,4020,5674,0.000603,0.0009924,0.0015954,gpt-4o-mini
./jsoup-jsoup/2266b/MANTIS-tests-05/jsoup-jsoup/Document/scenario_output/charset/scenario_2.json,o4-mini,stop,1973,9496,11469,0.010445600000000001,0.0086812,0.0191268,o4-mini
./jsoup-jsoup/2266b/MANTIS-tests-05/jsoup-jsoup/Document/scenario_output/charset/charset_1.json,,,0,0,0,0.0,0.0,0.0,unknown
./jsoup-jsoup/2266b/MANTIS-tests-05/jsoup-jsoup/Document/scenario_output/charset/charset_2.json,,,0,0,0,0.0,0.0,0.0,unknown
